Name,Address,Latitude,Longitude,
Averett University,"420 W Main St,Danville,VA,24541",36.577241,-36.577241,
Avila University,"11901 Wornall Rd,Kansas City,MO,64145",38.911948,-38.911948,
Azusa Pacific University,"901 E Alosta,Azusa,CA,91702",34.1294151,-34.1294151,
Babson College,"231 Forest Street,Wellesley,MA,2457",42.2990302,-42.2990302,
Bacone College,"2299 Old Bacone Rd,Muskogee,OK,74403",35.7740418,-35.7740418,
Baker University,"618 Eighth Street,Baldwin City,KS,66006",38.7763345,-38.7763345,
Bakersfield College,"1801 Panorama Dr,Bakersfield,CA,93305",35.408,-35.408,
Baldwin Wallace University,"275 Eastland Rd,Berea,OH,44017",41.3684663,-41.3684663,
Ball State University,"2000 University Ave,Muncie,IN,47306",40.1999048,-40.1999048,
Baltimore City Community College,"2901 Liberty Heights Avenue,Baltimore,MD,21215",39.3207741,-39.3207741,
Baptist Bible College,"628 E Kearney,Springfield,MO,65803",37.2401984,-37.2401984,
Barclay College,"607 N Kingman,Haviland,KS,67059",37.6209975,-37.6209975,
Bard College,"30 Campus Rd,Annandale,NY,12504",42.0193866,-42.0193866,
Barry University,"11300 NE 2nd Ave,Miami,FL,33161",25.8791629,-25.8791629,
Barstow Community College,"2700 Barstow Road,Barstow,CA,92311",34.8703181,-34.8703181,
Barton College,"200 E. ACC Drive,Wilson,NC,27893",35.735325,-35.735325,
Barton County Community College,"245 NE 30th Road,Great Bend,KS,67530",38.4037674,-38.4037674,
Bates College,"2 Andrews Road,Lewiston,ME,4240",44.1068479,-44.1068479,
Baton Rouge Community College,"201 Community College Drive,Baton Rouge,LA,70806",30.4480275,-30.4480275,
Bay de Noc Community College,"2001 N Lincoln Road,Escanaba,MI,49829",45.7721711,-45.7721711,
Baylor University,"500 Speight Ave.,Waco,TX,76798",31.5447753,-31.5447753,
Becker College,"61 Sever St,Worcester,MA,1609",42.2690259,-42.2690259,
Belhaven University,"1500 Peachtree St,Jackson,MS,39202",32.3198074,-32.3198074,
Bellarmine University,"2001 Newburg Rd,Louisville,KY,40205",38.2187146,-38.2187146,
Bellevue College,"3000 Landerholm Cir SE,Bellevue,WA,98007",47.5848959,-47.5848959,
Bellevue University,"1000 Galvin Rd S,Bellevue,NE,68005",41.1509774,-41.1509774,
Belmont Abbey College,"100 Belmont-Mt Holly Road,Belmont,NC,28012",35.2621669,-35.2621669,
Belmont University,"1900 Belmont Blvd,Nashville,TN,37212",36.1336191,-36.1336191,
Beloit College,"700 College St,Beloit,WI,53511",42.5030333,-42.5030333,
Bemidji State University,"1500 Birchmont Dr,Bemidji,MN,56601",47.4826372,-47.4826372,
Benedict College,"1600 Harden Street,Columbia,SC,29204",34.01302,-34.01302,
Benedictine College,"1020 N 2nd St,Atchison,KS,66002",39.5722819,-39.5722819,
Benedictine University,"5700 College Rd,Lisle,IL,60532",41.7788628,-41.7788628,
Benjamin Franklin Institute of Technology,"41 Berkeley St,Boston,MA,2116",42.3460977,-42.3460977,
Bentley University,"175 Forest St,Waltham,MA,2452",42.3870692,-42.3870692,
Berea College,"101 Chestnut Street,Berea,KY,40404",37.5717311,-37.5717311,
Bergen Community College,"400 Paramus Rd,Paramus,NJ,7652",40.9516735,-40.9516735,
Berkeley College-New York,"3 East 43 Street,New York,NY,10017",40.7539196,-40.7539196,
Berkeley College-Woodland Park,"44 Rifle Camp Rd,Woodland Park,NJ,7424",40.8986902,-40.8986902,
Berry College,"2277 Martha Berry Hwy NW,Mount Berry,GA,30149",34.289492,-34.289492,
Bethany College,"335 E Swensson St,Lindsborg,KS,67456",38.5799308,-38.5799308,
Bethany College,"31 E Campus Dr,Bethany,WV,26032",40.206055,-40.206055,
Bethany Lutheran College,"700 Luther Dr,Mankato,MN,56001",44.1667466,-44.1667466,
Bethel College-Indiana,"1001 Bethel Circle,Mishawaka,IN,46545",41.6781593,-41.6781593,
Bethel College-North Newton,"300 E 27th St,North Newton,KS,67117",38.0736885,-38.0736885,
Bethel University,"325 Cherry Ave,McKenzie,TN,38201",36.1419765,-36.1419765,
Bethel University,"3900 Bethel Dr,Saint Paul,MN,55112",45.0575752,-45.0575752,
Bethesda University,"730 N. Euclid St,Anaheim,CA,92801",33.8422654,-33.8422654,
Bethune-Cookman University,"640 Dr Mary McLeod Bethune Blvd,Daytona Beach,FL,32114",29.2121248,-29.2121248,
Bevill State Community College,"1411 Indiana Avenue,Jasper,AL,35501",33.8371004,-33.8371004,
Big Bend Community College,"7662 Chanute St NE,Moses Lake,WA,98837",47.1847684,-47.1847684,
Binghamton University,"4400 Vestal Parkway East,Vestal,NY,13850",42.0934421,-42.0934421,
Biola University,"13800 Biola Ave,La Mirada,CA,90639",33.9055482,-33.9055482,
Birmingham Southern College,"900 Arkadelphia Road,Birmingham,AL,35254",33.5148629,-33.5148629,
Bishop State Community College,"351 North Broad Street,Mobile,AL,36603",30.6959001,-30.6959001,
Bismarck State College,"1500 Edwards Ave.,Bismarck,ND,585065587",46.8222613,-46.8222613,
Black Hawk College,"6600 34th Avenue,Moline,IL,612655899",41.4768837,-41.4768837,
Black Hills State University,"1200 University St,Spearfish,SD,57799",44.4965054,-44.4965054,
Blackburn College,"700 College Ave,Carlinville,IL,62626",39.2886353,-39.2886353,
Blinn College,"902 College Ave,Brenham,TX,77833",30.1587451,-30.1587451,
Bloomfield College,"467 Franklin St,Bloomfield,NJ,7003",40.7947084,-40.7947084,
Bloomsburg University of Pennsylvania,"400 E Second St,Bloomsburg,PA,17815",41.0079402,-41.0079402,
Blue Mountain College,"201 W Main St,Blue Mountain,MS,38610",34.6720826,-34.6720826,
Blue Mountain Community College,"2411 NW Carden Ave,Pendleton,OR,97801",45.6765562,-45.6765562,
Bluefield College,"3000 College Avenue,Bluefield,VA,24605",37.2460648,-37.2460648,
Bluefield State College,"219 Rock St,Bluefield,WV,24701",37.267207,-37.267207,
Bluffton University,"1 University Drive,Bluffton,OH,45817",40.8969477,-40.8969477,
Bob Jones University,"1700 Wade Hampton Boulavard,Greenville,SC,29614",34.8750509,-34.8750509,
Boise State University,"1910 University Dr,Boise,ID,83725",43.609316,-43.609316,
Bossier Parish Community College,"6220 East Texas,Bossier City,LA,71111",32.5395936,-32.5395936,
Boston College,"140 Commonwealth Avenue,Chestnut Hill,MA,2467",42.3355488,-42.3355488,
Boston University,"One Silber Way,Boston,MA,2215",42.349583,-42.349583,
Bowdoin College,"255 Maine Street,Brunswick,ME,4011",43.9068757,-43.9068757,
Bowie State University,"14000 Jericho Park Rd,Bowie,MD,20715",39.0192914,-39.0192914,
Bowling Green State University-Main Campus,"220 McFall Ctr,Bowling Green,OH,43403",41.3754425,-41.3754425,
Bradley University,"1501 W Bradley Ave,Peoria,IL,61625",40.6963829,-40.6963829,
Brandeis University,"415 South St,Waltham,MA,2454",42.3641909,-42.3641909,
Brenau University,"500 Washington Street SE,Gainesville,GA,30501",34.3018881,-34.3018881,
Brescia University,"717 Frederica St,Owensboro,KY,42301",37.768595,-37.768595,
Brevard College,"One Brevard College Drive,Brevard,NC,28712",35.2367409,-35.2367409,
Brewton-Parker College,"201 David-Eliza Fountain Circle,Mount Vernon,GA,30445",32.1858028,-32.1858028,
Briar Cliff University,"3303 Rebecca Street,Sioux City,IA,51104",42.5270102,-42.5270102,
Bridgewater College,"402 E College St,Bridgewater,VA,22812",38.3789235,-38.3789235,
Bridgewater State University,"131 Summer Street,Bridgewater,MA,2325",41.987662,-41.987662,
Brigham Young University-Provo,"Main Campus,Provo,UT,84602",40.2524308,-40.2524308,
Bristol Community College,"777 Elsbree St,Fall River,MA,2720",41.7221259,-41.7221259,
Brookdale Community College,"765 Newman Springs Rd,Lincroft,NJ,7738",40.3270495,-40.3270495,
Brookhaven College,"3939 Valley View Ln,Farmers Branch,TX,75244",32.9282811,-32.9282811,
Broward College,"111 East Las Olas Blvd,Fort Lauderdale,FL,33301",26.119446,-26.119446,
Brown University,"One Prospect Street,Providence,RI,2912",41.8243851,-41.8243851,
Brunswick Community College,"50 College Rd,Bolivia,NC,28422",34.038474,-34.038474,
Bryan College-Dayton,"721 Bryan Drive,Dayton,TN,37321",35.4983997,-35.4983997,
Bryant & Stratton College-Albany,"1259 Central Ave,Albany,NY,12205",42.6982085,-42.6982085,
Bryant & Stratton College-Buffalo,"465 Main Street, Suite 400,Buffalo,NY,14203",42.8864942,-42.8864942,
Bryant & Stratton College-Greece,"854 Long Pond Road,Rochester,NY,14612",43.2405383,-43.2405383,
Bryant & Stratton College-Solon,"33001 Solon Rd.,Solon,OH,44139",41.3900122,-41.3900122,
Bryant & Stratton College-Syracuse,"953 James St,Syracuse,NY,13203",43.0589909,-43.0589909,
Bryant & Stratton College-Syracuse North,"8687 Carling Rd,Liverpool,NY,13090",43.1896516,-43.1896516,
Bryant & Stratton College-Virginia Beach,"301 Centre Pointe Dr,Virginia Beach,VA,23462",36.8278959,-36.8278959,
Bryant & Stratton College-Wauwatosa,"10950 W Potter Road,Wauwatosa,WI,53226",43.0431584,-43.0431584,
Bryant University,"1150 Douglas Pike,Smithfield,RI,2917",41.924952,-41.924952,
Bryn Athyn College of the New Church,"801 Tomlinson Rd,Bryn Athyn,PA,19009",40.1320822,-40.1320822,
Bucknell University,"One Dent Drive,Lewisburg,PA,17837",40.9547722,-40.9547722,
Bucks County Community College,"275 Swamp Rd,Newtown,PA,18940",40.2402579,-40.2402579,
Buena Vista University,"610 W 4th St,Storm Lake,IA,50588",42.6419535,-42.6419535,
Bunker Hill Community College,"250 New Rutherford Ave,Boston,MA,2129",42.3749673,-42.3749673,
Butler Community College,"901 S Haverhill Rd,El Dorado,KS,67042",37.8064386,-37.8064386,
Butler County Community College,"107 College Drive,Butler,PA,16002",40.8295624,-40.8295624,
Butler University,"4600 Sunset Ave,Indianapolis,IN,46208",39.8381669,-39.8381669,
Butte College,"3536 Butte Campus Drive,Oroville,CA,95965",39.6501451,-39.6501451,
Cabrillo College,"6500 Soquel Dr,Aptos,CA,95003",36.9876108,-36.9876108,
Cabrini University,"610 King of Prussia Rd,Radnor,PA,19087",40.055158,-40.055158,
Cairn University-Langhorne,"200 Manor Ave,Langhorne,PA,19047",40.1650923,-40.1650923,
Caldwell Community College and Technical Institute,"2855 Hickory Boulevard,Hudson,NC,28638",35.8575917,-35.8575917,
Caldwell University,"120 Bloomfield Avenue,Caldwell,NJ,7006",40.8356398,-40.8356398,
California Baptist University,"8432 Magnolia Ave,Riverside,CA,92504",33.9284053,-33.9284053,
California Institute of Technology,"1200 E California Blvd,Pasadena,CA,91125",34.1356666,-34.1356666,
California Lutheran University,"60 W Olsen Rd,Thousand Oaks,CA,91360",34.2253821,-34.2253821,
California Polytechnic State University-San Luis Obispo,"1 Grand Ave.,San Luis Obispo,CA,93407",35.3011339,-35.3011339,
California State Polytechnic University-Pomona,"3801 West Temple Avenue,Pomona,CA,91768",34.055599,-34.055599,
California State University Maritime Academy,"200 Maritime Academy Dr,Vallejo,CA,94590",38.0692105,-38.0692105,
California State University-Bakersfield,"9001 Stockdale Hwy,Bakersfield,CA,93311",35.3486641,-35.3486641,
California State University-Chico,"400 W. 1st Street,Chico,CA,95929",39.7296139,-39.7296139,
California State University-Dominguez Hills,"1000 E Victoria St,Carson,CA,90747",33.8639658,-33.8639658,
California State University-East Bay,"25800 Carlos Bee Blvd,Hayward,CA,94542",37.6571303,-37.6571303,
California State University-Fresno,"5241 N Maple Ave,Fresno,CA,93740",36.8108284,-36.8108284,
California State University-Fullerton,"800 N State College Blvd,Fullerton,CA,92831",33.8819278,-33.8819278,
California State University-Long Beach,"1250 Bellflower Blvd,Long Beach,CA,90840",33.7826983,-33.7826983,
California State University-Los Angeles,"5151 State University Dr,Los Angeles,CA,90032",34.0620391,-34.0620391,
California State University-Monterey Bay,"100 Campus Center,Seaside,CA,93955",36.6508506,-36.6508506,
California State University-Northridge,"18111 Nordhoff St,Northridge,CA,91330",34.2399364,-34.2399364,
California State University-Sacramento,"6000 J St,Sacramento,CA,95819",38.5642453,-38.5642453,
California State University-San Bernardino,"5500 University Parkway,San Bernardino,CA,92407",34.1813145,-34.1813145,
California State University-San Marcos,"333 S Twin Oaks Valley Rd,San Marcos,CA,92096",33.1290871,-33.1290871,
California State University-Stanislaus,"One University Circle,Turlock,CA,95382",37.5235478,-37.5235478,
California University of Pennsylvania,"250 University Ave,California,PA,15419",40.0632191,-40.0632191,
Calumet College of Saint Joseph,"2400 New York Ave,Whiting,IN,46394",41.67086,-41.67086,
Calvary University,"15800 Calvary Road,Kansas City,MO,64147",38.8391679,-38.8391679,
Calvin College,"3201 Burton Street SE,Grand Rapids,MI,49546",42.9331793,-42.9331793,
Camden County College,"200 College Drive,Blackwood,NJ,8012",39.7855923,-39.7855923,
Cameron University,"2800 West Gore Blvd,Lawton,OK,73505",34.6054387,-34.6054387,
Campbell University,"143 Main Street,Buies Creek,NC,27506",35.4091517,-35.4091517,
Campbellsville University,"1 University Dr,Campbellsville,KY,42718",37.3429502,-37.3429502,
Canada College,"4200 Farm Hill Blvd.,Redwood City,CA,94061",37.4473861,-37.4473861,
Canisius College,"2001 Main St,Buffalo,NY,14208",42.9272065,-42.9272065,
Cape Fear Community College,"411 North Front Street,Wilmington,NC,28401",34.2400947,-34.2400947,
Capital University,"1 College and Main,Columbus,OH,43209",39.9571011,-39.9571011,
Cardinal Stritch University,"6801 N Yates Rd,Milwaukee,WI,53217",43.140054,-43.140054,
Caribbean University-Bayamon,"167 Ave.  Km 21.2,Bayamon,PR,960",18.3870265,-18.3870265,
Carl Albert State College,"1507 S McKenna,Poteau,OK,74953",35.0387744,-35.0387744,
Carl Sandburg College,"2400 Tom L. Wilson Boulevard,Galesburg,IL,61401",40.981153,-40.981153,
Carleton College,"One North College Street,Northfield,MN,55057",44.4613633,-44.4613633,
Carlow University,"3333 Fifth Ave,Pittsburgh,PA,15213",40.4389338,-40.4389338,
Carnegie Mellon University,"5000 Forbes Avenue,Pittsburgh,PA,15213",40.4441647,-40.4441647,
Carolina Christian College,"4209 Indiana Avenue,Winston Salem,NC,27105",36.1461702,-36.1461702,
Carroll College,"1601 N Benton Ave,Helena,MT,59625",46.6013247,-46.6013247,
Carroll University,"100 N East Ave,Waukesha,WI,53186",43.0044881,-43.0044881,
Carson-Newman University,"1646 S Russell Ave,Jefferson City,TN,37760",36.1223377,-36.1223377,
Carthage College,"2001 Alford Park Dr,Kenosha,WI,53140",42.6221689,-42.6221689,
Case Western Reserve University,"10900 Euclid Ave,Cleveland,OH,44106",41.50462,-41.50462,
Casper College,"125 College Drive,Casper,WY,82601",42.830783,-42.830783,
Castleton University,"190 University Drive,Castleton,VT,5735",43.6072172,-43.6072172,
Catawba College,"2300 W Innes St,Salisbury,NC,28144",35.6915176,-35.6915176,
Catawba Valley Community College,"2550 Hwy 70 SE,Hickory,NC,28602",35.6998273,-35.6998273,
Catholic University of America,"620 Michigan Avenue, NE,Washington,DC,20064",38.9326676,-38.9326676,
Cayuga County Community College,"197 Franklin Street,Auburn,NY,13021",42.9439149,-42.9439149,
Cazenovia College,"22 Sullivan St,Cazenovia,NY,13035",42.9324543,-42.9324543,
Cecil College,"One Seahawk Drive,North East,MD,21901",39.6410412,-39.6410412,
Cedar Crest College,"100 College Drive,Allentown,PA,18104",40.5860439,-40.5860439,
Cedar Valley College,"3030 North Dallas Ave,Lancaster,TX,75134",32.6256727,-32.6256727,
Cedarville University,"251 N. Main Street,Cedarville,OH,45314",39.7468502,-39.7468502,
Centenary College of Louisiana,"2911 Centenary Boulevard,Shreveport,LA,71104",32.4830533,-32.4830533,
Centenary University,"400 Jefferson St,Hackettstown,NJ,7840",40.8474559,-40.8474559,
Central Alabama Community College,"1675 Cherokee Rd,Alexander City,AL,35010",32.925393,-32.925393,
Central Arizona College,"8470 N Overfield Rd,Coolidge,AZ,85128",32.9574297,-32.9574297,
Central Baptist College,"1501 College Avenue,Conway,AR,72034",35.0837628,-35.0837628,
Central Carolina Community College,"1105 Kelly Dr,Sanford,NC,27330",35.471033,-35.471033,
Central Christian College of Kansas,"1200 S Main,McPherson,KS,67460",38.3583827,-38.3583827,
Central Christian College of the Bible,"911 E Urbandale Dr,Moberly,MO,65270",39.3960168,-39.3960168,
Central College,"812 University,Pella,IA,50219",41.4015297,-41.4015297,
Central Community College,"3134 West Hwy 34,Grand Island,NE,68802",40.8896717,-40.8896717,
Central Connecticut State University,"1615 Stanley St,New Britain,CT,6050",41.6907573,-41.6907573,
Central Georgia Technical College,"80 Cohen Walker Drive,Warner Robins,GA,31088",32.5454972,-32.5454972,
Central Lakes College-Brainerd,"501 West College Drive,Brainerd,MN,56401",46.345808,-46.345808,
Central Maine Community College,"1250 Turner Street,Auburn,ME,4210",44.1333377,-44.1333377,
Central Methodist University-College of Liberal Arts and Sciences,"411 Central Methodist Square,Fayette,MO,65248",39.1514905,-39.1514905,
Central Michigan University,"106 Warriner Hall,Mount Pleasant,MI,48859",43.5911786,-43.5911786,
Central Penn College,"600 Valley Road,Summerdale,PA,17093",40.3049419,-40.3049419,
Central State University,"1400 Brush Row Rd,Wilberforce,OH,45384",39.714915,-39.714915,
Central Washington University,"400 East University Way,Ellensburg,WA,98926",47.0029902,-47.0029902,
Central Wyoming College,"2660 Peck Avenue,Riverton,WY,82501",43.0280952,-43.0280952,
Centralia College,"600 Centralia College Blvd.,Centralia,WA,98531",46.7162571,-46.7162571,
Centre College,"600 W Walnut St,Danville,KY,40422",37.6457777,-37.6457777,
Century College,"3300 Century Ave N,White Bear Lake,MN,55110",45.0416329,-45.0416329,
Cerritos College,"11110 Alondra Blvd,Norwalk,CA,90650",33.8861477,-33.8861477,
Cerro Coso Community College,"3000 College Heights Blvd,Ridgecrest,CA,93555",35.5673364,-35.5673364,
Chabot College,"25555 Hesperian Blvd,Hayward,CA,94545",37.6398046,-37.6398046,
Chadron State College,"1000 Main St,Chadron,NE,69337",42.8198689,-42.8198689,
Chaffey College,"5885 Haven Ave,Rancho Cucamonga,CA,91737",34.1464807,-34.1464807,
Chaminade University of Honolulu,"3140 Waialae Avenue,Honolulu,HI,96816",21.2897129,-21.2897129,
Champion Christian College,"600 Garland Avenue,Hot Springs,AR,71913",34.5002048,-34.5002048,
Chandler-Gilbert Community College,"2626 E Pecos Rd,Chandler,AZ,85225",33.2925859,-33.2925859,
Chapman University,"One University Dr.,Orange,CA,92866",33.7931305,-33.7931305,
Charleston Southern University,"9200 University Blvd,Charleston,SC,29406",32.9821829,-32.9821829,
Chatham University,"Woodland Rd,Pittsburgh,PA,15232",40.4476155,-40.4476155,
Chattahoochee Valley Community College,"2602 College Drive,Phenix City,AL,36869",32.4244948,-32.4244948,
Chattanooga State Community College,"4501 Amnicola Hwy,Chattanooga,TN,37406",35.100833,-35.100833,
Chemeketa Community College,"4000 Lancaster Dr NE,Salem,OR,97305",44.9785165,-44.9785165,
Chesapeake College,"1000 College Circle,Wye Mills,MD,21679",38.9532484,-38.9532484,
Chestnut Hill College,"9601 Germantown Ave,Philadelphia,PA,19118",40.0874677,-40.0874677,
Cheyney University of Pennsylvania,"1837 University Circle,Cheyney,PA,19319",39.9350609,-39.9350609,
Chicago State University,"9501 S. King Drive,Chicago,IL,60628",41.7211175,-41.7211175,
Chipola College,"3094 Indian Circle,Marianna,FL,32446",30.7874134,-30.7874134,
Chowan University,"One University Place,Murfreesboro,NC,27855",36.4354563,-36.4354563,
Christian Brothers University,"650 East Parkway South,Memphis,TN,38104",35.128596,-35.128596,
Christopher Newport University,"1 Avenue of the Arts,Newport News,VA,23606",37.0608093,-37.0608093,
Cincinnati Christian University,"2700 Glenway Ave,Cincinnati,OH,45204",39.1123835,-39.1123835,
Cincinnati State Technical and Community College,"3520 Central Parkway,Cincinnati,OH,45223",39.1495094,-39.1495094,
Cisco College,"101 College Heights,Cisco,TX,76437",32.4008802,-32.4008802,
Citadel Military College of South Carolina,"171 Moultrie St,Charleston,SC,29409",32.7975896,-32.7975896,
Citrus College,"1000 W Foothill Blvd,Glendora,CA,91741",34.1333467,-34.1333467,
City College of San Francisco,"50 Frida Kahlo Way,San Francisco,CA,94112",37.725852,-37.725852,
City Colleges of Chicago-Harry S Truman College,"1145 W Wilson Ave.,Chicago,IL,60640",41.9647366,-41.9647366,
City Colleges of Chicago-Kennedy-King College,"6301 S Halsted St,Chicago,IL,60621",41.7804262,-41.7804262,
City Colleges of Chicago-Malcolm X College,"1900 W Jackson Blvd,Chicago,IL,60612",41.8778058,-41.8778058,
City Colleges of Chicago-Olive-Harvey College,"10001 S Woodlawn Ave,Chicago,IL,60628",41.7105412,-41.7105412,
City Colleges of Chicago-Richard J Daley College,"7500 S Pulaski Rd,Chicago,IL,60652",41.756218,-41.756218,
City Colleges of Chicago-Wilbur Wright College,"4300 N Narragansett,Chicago,IL,60634",41.9588516,-41.9588516,
Clackamas Community College,"19600 Molalla Ave,Oregon City,OR,97045",45.3229707,-45.3229707,
Claflin University,"400 Magnolia Street,Orangeburg,SC,29115",33.4990214,-33.4990214,
Claremont McKenna College,"500 E 9th St,Claremont,CA,91711",34.1020742,-34.1020742,
Clarendon College,"1122 College Drive,Clarendon,TX,79226",34.944589,-34.944589,
Clarion University of Pennsylvania,"840 Wood Street,Clarion,PA,16214",41.2104564,-41.2104564,
Clark Atlanta University,"223 James P Brawley Drive, SW,Atlanta,GA,30314",33.7482561,-33.7482561,
Clark College,"1933 Fort Vancouver Way,Vancouver,WA,98663",45.6346831,-45.6346831,
